resource,zone,region,existing_cap_mw,can_retire,new_build,inv_cost_per_mwyr,min_cap_mw,max_cap_mw,fuel,model,min_power,ramp_dn_percentage,ramp_up_percentage,var_om_cost_per_mwh,fixed_om_cost_per_mwyr,cap_size,heat_rate_mmbtu_per_mwh,start_cost_per_mw,start_fuel_mmbtu_per_mw,down_time,up_time,reg_max,reg_cost,rsv_max,rsv_cost,cluster
Big Rivers Green 1-2:0,1,KY,231,0,0,0,0,0,Natural Gas,1,0.3,0.5,0.5,12,125000,231,10.51,83,17.1,12,24,1,0,1,0,1
Big Rivers Green 1-2:1,1,KY,223,0,0,0,0,0,Natural Gas,1,0.3,0.5,0.5,12,125000,223,10.88,83,17.1,12,24,1,0,1,0,1
Big Rivers Reid:0,1,KY,65,0,0,0,0,0,Natural Gas,1,0.4,1,1,4,34000,65,18.69,145,0.19,0,0,1,0,1,0,1
Big Rivers Wilson:0,1,KY,417,0,0,0,0,0,Steam Coal,1,0.3,0.5,0.5,12,125000,417,10.52,83,17.1,12,24,1,0,1,0,1
CCGT - Planned:0,1,KY,0,0,0,0,0,0,Natural Gas,1,0.3,0.5,0.5,12,125000,417,10.52,83,17.1,12,24,1,0,1,0,1
CT - Planned:0,1,KY,0,0,0,0,0,0,Natural Gas,1,0.3,0.5,0.5,12,125000,417,10.52,83,17.1,12,24,1,0,1,0,1
Duke East Bend CC:0,1,KY,0,0,0,0,0,0,Natural Gas,1,0.3,0.5,0.5,12,125000,417,10.52,83,17.1,12,24,1,0,1,0,1
Duke East Bend:0,1,KY,600,0,0,0,0,0,Steam Coal,1,0.3,0.5,0.5,12,125000,600,10.74,83,17.1,12,24,1,0,1,0,1
Duke Woodsdale 1-6:0,1,KY,564,0,0,0,0,0,Natural Gas,1,0.4,1,1,4,34000,94,14.95,145,0.19,0,0,1,0,1,0,1
EKPC Bluegrass 1-3:0,1,KY,501,0,0,0,0,0,Natural Gas,1,0.4,1,1,4,34000,167,11.06,145,0.19,0,0,1,0,1,0,1
EKPC Cooper 1-2:0,1,KY,116,0,0,0,0,0,Steam Coal,1,0.3,0.5,0.5,12,125000,116,10.02,83,17.1,12,24,1,0,1,0,1
EKPC Cooper 1-2:1,1,KY,225,0,0,0,0,0,Steam Coal,1,0.3,0.5,0.5,12,125000,225,9.88,83,17.1,12,24,1,0,1,0,1
EKPC Smith 1-10:0,1,KY,312,0,0,0,0,0,Natural Gas,1,0.4,1,1,4,34000,104,13.04,145,0.19,0,0,1,0,1,0,1
