resource,cluster,zone,region,existing_cap_mw,can_retire,new_build,inv_cost_per_mwyr,min_cap_mw,max_cap_mw,fuel,model,min_power,ramp_dn_percentage,ramp_up_percentage,var_om_cost_per_mwh,fixed_om_cost_per_mwyr,cap_size,heat_rate_mmbtu_per_mwh,start_cost_per_mw,start_fuel_mmbtu_per_mw,down_time,up_time,reg_max,rsv_max
Big Rivers Green 1-2:0,1.0,1.0,KY,231.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.3,0.5,0.5,12.0,125000.0,231.0,10.51,83.0,17.1,12.0,24.0,1.0,1.0
Big Rivers Green 1-2:1,1.0,1.0,KY,223.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.3,0.5,0.5,12.0,125000.0,223.0,10.88,83.0,17.1,12.0,24.0,1.0,1.0
Big Rivers Reid:0,1.0,1.0,KY,65.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,65.0,18.69,145.0,0.19,0.0,0.0,1.0,1.0
Big Rivers Wilson:0,1.0,1.0,KY,417.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,417.0,10.52,83.0,17.1,12.0,24.0,1.0,1.0
CCGT - Planned:0,1.0,1.0,KY,0.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CT - Planned:0,1.0,1.0,KY,0.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Duke East Bend CC:0,1.0,1.0,KY,0.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Duke East Bend:0,1.0,1.0,KY,600.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,600.0,10.74,83.0,17.1,12.0,24.0,1.0,1.0
Duke Woodsdale 1-6:0,1.0,1.0,KY,564.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,94.0,14.95,145.0,0.19,0.0,0.0,1.0,1.0
EKPC Bluegrass 1-3:0,1.0,1.0,KY,501.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,167.0,11.06,145.0,0.19,0.0,0.0,1.0,1.0
EKPC Cooper 1-2:0,1.0,1.0,KY,116.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,116.0,10.02,83.0,17.1,12.0,24.0,1.0,1.0
EKPC Cooper 1-2:1,1.0,1.0,KY,225.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,225.0,9.88,83.0,17.1,12.0,24.0,1.0,1.0
EKPC Smith 1-10:0,1.0,1.0,KY,312.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,104.0,13.04,145.0,0.19,0.0,0.0,1.0,1.0
EKPC Smith 1-10:1,1.0,1.0,KY,292.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,73.0,13.1,145.0,0.19,0.0,0.0,1.0,1.0
EKPC Smith 1-10:2,1.0,1.0,KY,150.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,75.0,8.91,145.0,0.19,0.0,0.0,1.0,1.0
EKPC Spurlock:0,1.0,1.0,KY,300.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,300.0,9.56,83.0,17.1,12.0,24.0,1.0,1.0
EKPC Spurlock:1,1.0,1.0,KY,510.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,510.0,10.3,83.0,17.1,12.0,24.0,1.0,1.0
EKPC Spurlock:2,1.0,1.0,KY,536.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,268.0,8.82,83.0,17.1,12.0,24.0,1.0,1.0
KPCO Big Sandy:0,1.0,1.0,KY,295.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.3,0.5,0.5,12.0,125000.0,295.0,9.57,83.0,17.1,12.0,24.0,1.0,1.0
KPCO Mitchell 1-2:0,1.0,1.0,KY,780.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,390.0,13.51,83.0,17.1,12.0,24.0,1.0,1.0
LGE Brown 12:0,1.0,1.0,KY,0.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LGE Brown 3:0,1.0,1.0,KY,412.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,412.0,10.83,83.0,17.1,12.0,24.0,1.0,1.0
LGE Brown 5-11:0,1.0,1.0,KY,484.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,121.0,13.36,145.0,0.19,0.0,0.0,1.0,1.0
LGE Brown 5-11:1,1.0,1.0,KY,292.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,146.0,10.93,145.0,0.19,0.0,0.0,1.0,1.0
LGE Brown 5-11:2,1.0,1.0,KY,130.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,130.0,13.25,145.0,0.19,0.0,0.0,1.0,1.0
LGE Cane Run 7:0,1.0,1.0,KY,691.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,691.0,6.28,145.0,0.19,0.0,0.0,1.0,1.0
LGE Ghent 1-4:0,1.0,1.0,KY,1919.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,479.75,9.6,83.0,17.1,12.0,24.0,1.0,1.0
LGE Haefling 1-2:0,1.0,1.0,KY,48.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,24.0,9.72,145.0,0.19,0.0,0.0,1.0,1.0
LGE Mill Creek 1-4:0,1.0,1.0,KY,297.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,297.0,9.09,83.0,17.1,12.0,24.0,1.0,1.0
LGE Mill Creek 1-4:1,1.0,1.0,KY,868.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,434.0,9.62,83.0,17.1,12.0,24.0,1.0,1.0
LGE Mill Creek 5:0,1.0,1.0,KY,0.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LGE Paddys Run 12-13:0,1.0,1.0,KY,23.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,23.0,9.72,145.0,0.19,0.0,0.0,1.0,1.0
LGE Paddys Run 12-13:1,1.0,1.0,KY,147.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,147.0,9.97,145.0,0.19,0.0,0.0,1.0,1.0
LGE Trimble 1-2:0,1.0,1.0,KY,370.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,370.0,8.94,83.0,17.1,12.0,24.0,1.0,1.0
LGE Trimble 1-2:1,1.0,1.0,KY,549.0,0,0,0.0,0.0,-1.0,Steam Coal,1,0.3,0.5,0.5,12.0,125000.0,549.0,8.5,83.0,17.1,12.0,24.0,1.0,1.0
LGE Trimble County 5-10:0,1.0,1.0,KY,318.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,159.0,10.66,145.0,0.19,0.0,0.0,1.0,1.0
LGE Trimble County 5-10:1,1.0,1.0,KY,636.0,0,0,0.0,0.0,-1.0,Natural Gas,1,0.4,1.0,1.0,4.0,34000.0,159.0,10.56,145.0,0.19,0.0,0.0,1.0,1.0
Nuclear - Planned:0,1.0,1.0,KY,0.0,0,0,0.0,0.0,-1.0,Uranium,1,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CCGT - New Generic,1.0,1.0,KY,0.0,0,1,53039.0,0.0,-1.0,Natural Gas,1,0.3,1.0,1.0,2.0,28000.0,500.0,6.36,106.0,2.0,6.0,6.0,1.0,1.0
CT - New Generic,1.0,1.0,KY,0.0,0,1,46539.0,0.0,-1.0,Natural Gas,1,0.3,1.0,1.0,5.0,21000.0,100.0,9.72,137.0,3.5,0.0,0.0,1.0,1.0
