resource,cluster,zone,region,existing_cap_mw,can_retire,new_build,inv_cost_per_mwyr,min_cap_mw,max_cap_mw,var_om_cost_per_mwh,fixed_om_cost_per_mwyr,num_vre_bins,reg_max,rsv_max
Solar:0,1.0,1.0,KY,289.3,0,0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
Wind:0,1.0,1.0,KY,0.09,0,0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
Wind - New Generic:0,1.0,1.0,KY,0.0,0,1,72674.0,0.0,1942.1100000000001,0.0,40975.0,1.0,0.0,0.0
Wind - New Generic:1,1.0,1.0,KY,0.0,0,1,74280.0,0.0,896.4,0.0,40975.0,1.0,0.0,0.0
Wind - New Generic:2,1.0,1.0,KY,0.0,0,1,77701.0,0.0,2129.4,0.0,40975.0,1.0,0.0,0.0
Wind - New Generic:3,1.0,1.0,KY,0.0,0,1,84727.0,0.0,1616.8,0.0,40975.0,1.0,0.0,0.0
Wind - New Generic:4,1.0,1.0,KY,0.0,0,1,84006.0,0.0,2422.1,0.0,40975.0,1.0,0.0,0.0
Wind - New Generic:5,1.0,1.0,KY,0.0,0,1,86618.0,0.0,979.7,0.0,40975.0,1.0,0.0,0.0
Solar - New Generic:0,1.0,1.0,KY,0.0,0,1,49681.0,0.0,36829.2,0.0,18165.0,1.0,0.0,0.0
Solar - New Generic:1,1.0,1.0,KY,0.0,0,1,50312.0,0.0,58598.6,0.0,18165.0,1.0,0.0,0.0
Solar - New Generic:2,1.0,1.0,KY,0.0,0,1,57771.0,0.0,39958.3,0.0,18165.0,1.0,0.0,0.0
Solar - New Generic:3,1.0,1.0,KY,0.0,0,1,58424.0,0.0,73468.1,0.0,18165.0,1.0,0.0,0.0
Solar - New Generic:4,1.0,1.0,KY,0.0,0,1,63532.0,0.0,71342.2,0.0,18165.0,1.0,0.0,0.0
Solar - New Generic:5,1.0,1.0,KY,0.0,0,1,66895.0,0.0,21958.8,0.0,18165.0,1.0,0.0,0.0
