Resource,NQC_derate
Big Rivers Green 1-2:0,0.75
Big Rivers Green 1-2:1,0.75
Big Rivers Reid:0,0.62
Big Rivers Wilson:0,0.84
CCGT - Planned:0,0.79
CT - Planned:0,0.62
Duke East Bend CC:0,0.79
Duke East Bend:0,0.84
Duke Woodsdale 1-6:0,0.62
EKPC Bluegrass 1-3:0,0.62
EKPC Cooper 1-2:0,0.84
EKPC Cooper 1-2:1,0.84
EKPC Smith 1-10:0,0.62
EKPC Smith 1-10:1,0.62
EKPC Smith 1-10:2,0.62
EKPC Spurlock:0,0.84
EKPC Spurlock:1,0.84
EKPC Spurlock:2,0.84
KPCO Big Sandy:0,0.75
KPCO Mitchell 1-2:0,0.84
LGE Brown 12:0,0.79
LGE Brown 3:0,0.84
LGE Brown 5-11:0,0.62
LGE Brown 5-11:1,0.62
LGE Brown 5-11:2,0.62
LGE Cane Run 7:0,0.62
LGE Ghent 1-4:0,0.84
LGE Haefling 1-2:0,0.62
LGE Mill Creek 1-4:0,0.84
LGE Mill Creek 1-4:1,0.84
LGE Mill Creek 5:0,0.79
LGE Paddys Run 12-13:0,0.62
LGE Paddys Run 12-13:1,0.62
LGE Trimble 1-2:0,0.84
LGE Trimble 1-2:1,0.84
LGE Trimble County 5-10:0,0.62
LGE Trimble County 5-10:1,0.62
Nuclear - Planned:0,0.95
CCGT - New Generic,0.79
CT - New Generic,0.62
Solar:0,0.09
Wind:0,0.35
Wind - New Generic:0,0.35
Wind - New Generic:1,0.35
Wind - New Generic:2,0.35
Wind - New Generic:3,0.35
Wind - New Generic:4,0.35
Wind - New Generic:5,0.35
Solar - New Generic:0,0.14
Solar - New Generic:1,0.14
Solar - New Generic:2,0.14
Solar - New Generic:3,0.14
Solar - New Generic:4,0.14
Solar - New Generic:5,0.14
Battery - Planned:0,0.59
4-hr Battery - New Generic,0.59
8-hr Battery - New Generic,0.68
100-hr Storage - New Generic,0.8
Hydro - Existing:0,0.8
EKPC Biogas - Existing:0,0.54
