Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4
1.0,35064.0,35064.0,2000.0,1.0,1.0,1.0,1,5832.756315909027,0.0,0.0,0.0
,,,,2.0,0.9,0.04,2,5745.743391873446,0.0,0.0,0.0
,,,,3.0,0.55,0.024,3,5623.598166756125,0.0,0.0,0.0
,,,,4.0,0.2,0.003,4,5641.985350426906,0.0,0.0,0.0
,,,,,,,5,5655.420810411169,0.0,0.0,0.0
,,,,,,,6,5775.265042155735,0.0,0.0,0.0
,,,,,,,7,5980.202227180596,0.0,0.0,0.0
,,,,,,,8,6156.2041414314945,0.0,0.0,0.0
,,,,,,,9,6342.994073397596,0.0,0.0,0.0
,,,,,,,10,6608.9407367155845,0.0,0.0,0.0
,,,,,,,11,6921.001370270133,0.0,0.0,0.0
,,,,,,,12,7127.601726259387,0.0,0.0,0.0
,,,,,,,13,7265.528813131371,0.0,0.0,0.0
,,,,,,,14,7293.852375054941,0.0,0.0,0.0
,,,,,,,15,7313.530156670924,0.0,0.0,0.0
,,,,,,,16,7314.670242658931,0.0,0.0,0.0
,,,,,,,17,7450.216507494976,0.0,0.0,0.0
,,,,,,,18,7770.314344339098,0.0,0.0,0.0
,,,,,,,19,7813.7563900388795,0.0,0.0,0.0
,,,,,,,20,7853.907128723749,0.0,0.0,0.0
,,,,,,,21,7779.196372561604,0.0,0.0,0.0
,,,,,,,22,7554.387736563707,0.0,0.0,0.0
,,,,,,,23,7323.167343138981,0.0,0.0,0.0
,,,,,,,24,7012.4033052802,0.0,0.0,0.0
,,,,,,,25,6770.110300879813,0.0,0.0,0.0
,,,,,,,26,6660.427779211982,0.0,0.0,0.0
,,,,,,,27,6563.184054974623,0.0,0.0,0.0
,,,,,,,28,6582.24643132194,0.0,0.0,0.0
,,,,,,,29,6736.587475576608,0.0,0.0,0.0
,,,,,,,30,7109.817175987785,0.0,0.0,0.0
,,,,,,,31,7645.055994801309,0.0,0.0,0.0
,,,,,,,32,7999.3996352582835,0.0,0.0,0.0
,,,,,,,33,7970.187068113081,0.0,0.0,0.0
,,,,,,,34,7936.550500128586,0.0,0.0,0.0
,,,,,,,35,7825.766182621266,0.0,0.0,0.0
,,,,,,,36,7618.61264256292,0.0,0.0,0.0
,,,,,,,37,7438.787317096544,0.0,0.0,0.0
,,,,,,,38,7285.833501138217,0.0,0.0,0.0
,,,,,,,39,7162.702343086141,0.0,0.0,0.0
,,,,,,,40,7000.136790834346,0.0,0.0,0.0
,,,,,,,41,7116.655628194179,0.0,0.0,0.0
,,,,,,,42,7619.066610082766,0.0,0.0,0.0
,,,,,,,43,8112.796875253095,0.0,0.0,0.0
,,,,,,,44,8202.80092588648,0.0,0.0,0.0
,,,,,,,45,8265.976713194701,0.0,0.0,0.0
,,,,,,,46,8095.328842523398,0.0,0.0,0.0
,,,,,,,47,7932.301626622842,0.0,0.0,0.0
,,,,,,,48,7628.045687020029,0.0,0.0,0.0
,,,,,,,49,7423.7474280561955,0.0,0.0,0.0
,,,,,,,50,7339.906318639167,0.0,0.0,0.0
,,,,,,,51,7294.7056592950485,0.0,0.0,0.0
,,,,,,,52,7323.216932044826,0.0,0.0,0.0
,,,,,,,53,7448.81126361965,0.0,0.0,0.0
,,,,,,,54,7770.006309925283,0.0,0.0,0.0
,,,,,,,55,8478.840255090763,0.0,0.0,0.0
,,,,,,,56,8743.681683981822,0.0,0.0,0.0
,,,,,,,57,8462.3789745377,0.0,0.0,0.0
,,,,,,,58,8115.52657633811,0.0,0.0,0.0
,,,,,,,59,7835.468490308411,0.0,0.0,0.0
,,,,,,,60,7536.819349768268,0.0,0.0,0.0
,,,,,,,61,7286.209986081996,0.0,0.0,0.0
,,,,,,,62,7097.403166454463,0.0,0.0,0.0
,,,,,,,63,6960.773126528355,0.0,0.0,0.0
,,,,,,,64,6880.625721426671,0.0,0.0,0.0
,,,,,,,65,6968.565018157423,0.0,0.0,0.0
